"Category","Tevredenheid, 18 jaar of ouder","Tevredenheid, 18 tot 25 jaar","Geluk, 18 jaar of ouder","Geluk, 18 tot 25 jaar"
1997,0.841,0.848,0.882,0.911
1998,0.854,0.849,0.890,0.909
1999,0.848,0.846,0.884,0.898
2000,0.858,0.855,0.891,0.908
2001,0.859,0.857,0.893,0.909
2002,0.844,0.814,0.880,0.887
2003,0.845,0.846,0.878,0.907
2004,0.843,0.841,0.878,0.906
2005,0.839,0.828,0.874,0.876
2006,0.844,0.850,0.888,0.905
2007,0.849,0.872,0.882,0.898
2008,0.858,0.865,0.887,0.914
2009,0.851,0.846,0.890,0.900
2010,0.838,0.847,0.877,0.888
2011,0.847,0.850,0.881,0.894
2012,0.851,0.858,0.890,0.904
2013,0.836,0.856,0.875,0.900
2014,0.846,0.826,0.879,0.896
2015,0.839,0.862,0.874,0.887
2016,0.852,0.855,0.883,0.885
2017,0.854,0.853,0.875,0.875
2018,0.857,0.838,0.877,0.858
2019,0.873,0.861,0.889,0.875
2020,0.848,0.814,0.868,0.838
2021,0.836,0.769,0.864,0.809
