"ID";"KenmerkenWerknemer";"CaoSector";"Perioden";"TotaalBanen_1"
"0";"T001006";"T001020";2009;7818.7
"1";"T001006";"T001020";2010;7859.8
"2";"T001006";"T001020";2011;7926.8
"3";"T001006";"T001020";2012;7872.1
"4";"T001006";"T001020";2013;7745.8
"5";"T001006";"T001020";2014;7706
"6";"T001006";"T001020";2015;7782.5
"7";"T001006";"T001020";2016;7892.5
"8";"T001006";"T001020";2017;8096
"9";"T001006";"T001020";2018;8324.2
"10";"T001006";"T001020";2019;8500.5
"11";"T001006";"T001020";2020;8390.8
"12";"T001006";"T001020";2021;8561
